id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000167183.2	2.829311326	-3.517477584	1.6450962	-2.138159205	0.032503824	0.112337244
ENSG00000255038.1	5.071932789	-3.516358837	1.357559555	-2.59020595	0.009591853	0.046340749
ENSG00000229694.5	2.932710788	-3.511397066	1.483279165	-2.367320428	0.017917413	0.073185407
ENSG00000227813.1	3.016681853	-3.509278887	1.374814236	-2.552547678	0.010693827	0.05015204
ENSG00000230568.1	12.17728543	-3.50541143	0.741219252	-4.729250379	2.25E-06	5.03E-05
ENSG00000135931.16	2.811493489	-3.50466365	1.358892938	-2.579057961	0.009907016	0.047434515
ENSG00000253314.4	2.94266411	-3.50360839	1.622166925	-2.15983222	0.03078566	0.108101639
ENSG00000236452.1	3.020990065	-3.502901133	1.78482665	-1.962600196	0.049692648	0.152125982
ENSG00000224945.1	2.788271103	-3.49726483	1.766837822	-1.979392102	0.047771877	0.14765683
ENSG00000021826.13	6.508749294	-3.488531355	1.061968228	-3.284967725	0.001019941	0.008204863
ENSG00000158089.13	31.0444103	-3.484395712	0.698758867	-4.986549546	6.15E-07	1.65E-05
ENSG00000233464.2	10.57740584	-3.480078499	0.873546023	-3.983852492	6.78E-05	0.000906655
ENSG00000235665.4	4.37743982	-3.474453645	1.138141961	-3.052741894	0.002267609	0.015380262
ENSG00000256195.2	2.858339523	-3.467511488	1.883954599	-1.84054939	0.06568762	0.184334329
ENSG00000278239.1	6.193317581	-3.463200801	1.080152864	-3.2062136	0.001344941	0.01026546
ENSG00000267707.2	2.708391998	-3.458181465	1.423746037	-2.428931408	0.015143397	0.064852037
ENSG00000271997.1	27.44375108	-3.453577417	0.607405393	-5.685786551	1.30E-08	5.15E-07
ENSG00000266445.1	3.756892009	-3.447552159	1.377809546	-2.502197905	0.012342491	0.055649188
ENSG00000259823.4	71.63778815	-3.44563258	0.607858278	-5.668480148	1.44E-08	5.63E-07
ENSG00000243314.1	8.414076175	-3.445138253	0.915096249	-3.764782401	0.000166694	0.001906328
ENSG00000231292.6	2.913769654	-3.444706007	1.290799409	-2.668660973	0.007615428	0.039001716
ENSG00000207802.1	5.766508191	-3.444069169	1.198999224	-2.872453209	0.004072984	0.024109421
ENSG00000258455.1	5.562710186	-3.443796913	1.110484823	-3.101165222	0.001927607	0.013540083
ENSG00000207306.1	2.668133561	-3.435976859	1.40854241	-2.439384739	0.014712295	0.063473045
ENSG00000272839.1	4.127040415	-3.434709758	1.209395583	-2.84002175	0.004511046	0.026045631
