id	group_1_sample_10_SRR988501_PE	group_1_sample_11_SRR988500_PE	group_1_sample_12_SRR988499_PE	group_1_sample_1_SRR988510_PE	group_1_sample_2_SRR988509_PE	group_1_sample_3_SRR988508_PE	group_1_sample_4_SRR988507_PE	group_1_sample_5_SRR988506_PE	group_1_sample_6_SRR988505_PE	group_1_sample_7_SRR988504_PE	group_1_sample_8_SRR988503_PE	group_1_sample_9_SRR988502_PE
ENSG00000157111.11	0.00	0.00	5.00	0.00	8.00	0.00	6.00	4.00	2.00	0.00	2.00	0.00
ENSG00000157150.4	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00
ENSG00000157152.15	2.00	0.00	1.00	6.00	0.00	0.00	0.00	4.00	6.00	0.00	0.00	3.00
ENSG00000157168.17	29.00	3.00	103.00	294.00	35.00	0.00	45.00	10.00	43.00	10.00	145.00	8.00
ENSG00000157181.13	401.00	136.00	449.00	480.00	325.00	147.00	418.00	289.00	290.00	103.00	445.00	178.00
ENSG00000157184.5	221.96	37.37	146.73	138.27	103.97	47.15	134.69	91.67	86.80	46.00	166.71	31.12
ENSG00000157191.18	1677.00	406.00	1336.00	1480.04	994.04	685.00	1444.98	1246.44	675.04	356.00	1333.06	911.00
ENSG00000157193.13	133.00	10.14	152.00	143.00	160.00	26.00	93.00	33.00	110.95	22.00	108.88	23.00
ENSG00000157211.10	0.00	0.00	0.00	0.67	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00
ENSG00000157212.17	275.45	47.00	352.49	237.56	301.97	70.01	311.88	143.42	144.35	47.00	286.83	60.40
ENSG00000157214.12	26.04	5.49	19.83	21.95	16.19	5.08	8.29	9.23	14.15	0.00	37.96	3.30
ENSG00000157216.14	441.00	43.00	196.77	333.79	426.95	153.00	306.94	265.00	285.95	86.00	488.81	149.00
ENSG00000157219.3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
ENSG00000157224.14	27.00	6.00	75.00	46.00	41.00	19.00	90.00	29.00	26.00	13.81	40.18	21.00
ENSG00000157227.11	8.00	1.00	2.00	20.00	2.00	1.00	9.00	0.00	5.00	2.00	8.00	1.00
ENSG00000157240.3	243.00	45.00	142.00	248.00	87.00	59.00	59.00	135.00	52.00	27.00	154.00	83.00
ENSG00000157259.6	413.61	104.16	315.22	267.92	393.63	142.42	565.62	275.77	295.28	137.58	531.95	113.60
ENSG00000157303.9	124.00	31.00	88.00	59.00	62.00	30.00	103.00	78.00	72.00	30.00	104.00	35.00
ENSG00000157306.13	230.89	14.58	60.32	43.24	97.38	33.14	89.66	28.54	60.12	9.18	104.34	23.14
ENSG00000157315.4	11.00	2.00	3.00	7.00	4.00	1.00	2.00	4.00	1.00	1.00	4.00	4.00
ENSG00000157322.15	0.00	4.41	14.13	21.08	8.06	3.85	21.49	45.20	32.28	2.00	24.45	15.12
ENSG00000157326.17	41.27	6.00	24.36	51.23	91.72	17.01	42.29	20.60	63.89	7.67	82.80	34.57
ENSG00000157330.8	1.02	0.00	1.48	2.00	3.65	1.99	1.45	1.92	7.38	0.00	3.49	0.71
ENSG00000157335.18	12.25	3.84	4.03	0.54	10.62	4.87	0.00	0.00	0.11	0.00	2.34	1.00
