id	sample_12_SRR988499_PE	sample_10_SRR988501_PE	sample_8_SRR988503_PE	sample_6_SRR988505_PE	sample_4_SRR988507_PE	sample_11_SRR988500_PE	sample_9_SRR988502_PE	sample_7_SRR988504_PE	sample_5_SRR988506_PE	sample_3_SRR988508_PE	sample_2_SRR988509_PE	sample_1_SRR988510_PE
Group	Pre-challenge	Pre-challenge	Pre-challenge	Pre-challenge	Pre-challenge	Post-challenge	Post-challenge	Post-challenge	Post-challenge	Post-challenge	Unchallenged control	Unchallenged control
ENSG00000256563.2	0	1.11	0	0	0.19	0	0	0	0	0	3.17	0
ENSG00000256576.2	0.84	1.83	2.73	2.55	0.68	0.96	0.65	1.34	1.06	1.04	1.91	1.16
ENSG00000256581.1	0.6	1.32	0.6	1.74	0	0.35	0.67	0.17	0.16	0.38	0.21	0.92
ENSG00000256582.1	2.77	1.39	5.67	1.09	7.45	0.56	1.18	0	1.67	1.91	5.02	5.74
ENSG00000256588.1	1.76	1.93	1.47	1.82	1.59	0.91	0.25	1.07	1.1	1.27	1.2	0.56
ENSG00000256590.2	0.27	0	0.2	0	3.71	0	0	1.12	0	0	0.39	0.27
ENSG00000256591.4	2.84	6.75	3.78	6.84	1.83	1.58	5.84	0.76	4.36	14.51	14.79	5.79
ENSG00000256594.6	30.51	26.62	21.95	26.09	42.42	9.33	5.66	15.02	10.59	17.33	22.06	27.47
ENSG00000256603.1	0.15	2.16	0.35	0.2	0.18	0.52	0.27	0.6	0.31	2.13	3.78	0
ENSG00000256615.1	0	0.14	0.24	0	0	0	0.69	0.05	0.65	1.45	0.23	0
ENSG00000256618.2	8.93	13.52	6.96	7.42	15.88	3.13	13.2	6.05	7.79	6.8	41.58	15.14
ENSG00000256628.3	1.29	2.21	1.24	1.34	1.92	0.99	1.02	0.61	1.25	2.26	2.57	2.26
ENSG00000256633.1	1.13	1.77	0.87	1.18	1.18	0	0	0.49	1.27	2.03	3.69	0.26
ENSG00000256640.1	0	0.88	1.06	2.71	0	0	0	0.94	0.72	0.54	5.68	0.71
ENSG00000256646.6	9.29	0.12	4.3	2.12	8.34	0	5.05	1.58	4.34	2.38	0	4.39
ENSG00000256657.1	0.96	0.38	1.36	2.05	1.04	0.51	0.29	0.92	0.4	0.56	1.88	0.83
ENSG00000256660.4	21.2	13.78	5.39	8.01	15.63	13.45	4.79	1.33	1.78	6.01	9.29	7.72
ENSG00000256664.1	0	0	0	1.98	13.2	0	0	1.66	2.82	4.43	3.63	1.48
ENSG00000256667.5	1.57	3.02	1.48	1.85	8.97	1.6	1.15	3.17	0.59	3.02	5.47	1.75
ENSG00000256682.2	2.1	0.88	1.87	3.37	2.02	0.25	0.28	0.3	0.31	1.64	3.9	2.34
ENSG00000256683.5	10.44	6.9	7.95	7.31	17.5	10.48	8.62	7.81	7.75	10.29	10.5	9.13
ENSG00000256690.1	3.83	1.27	1.12	0.21	0.89	0	2.62	0	0.41	0.38	1.19	0.57
